id,LA_dice,LA_haus95
la_022,0.91621652036912,1.7677669525146484
la_011,0.89678969348103,2.5
la_007,0.8960112338229155,2.5
la_016,0.8273983133238373,7.5
la_019,0.7614190337870549,9.619272232055664
la_017,0.9175373955125384,1.3699951171875
la_010,0.9266818037807583,1.25
la_014,0.9130007314828652,2.740001678466797
la_020,0.8920110099799051,2.850771188735962
la_003,0.8589699780327069,3.75
la_023,0.8999975495601461,2.7950849533081055
la_004,0.8950486703787456,2.236494541168213
la_024,0.8757621189405297,2.8507730960845947
la_009,0.739864566651114,15.114212036132812
la_030,0.8625935880207334,5.0
la_029,0.8777470080487133,3.2607650756835938
la_005,0.8570893144934598,3.112781286239624
la_021,0.9240328370948712,1.25
la_026,0.8723749243001426,2.236494541168213
la_018,0.8307118917490648,6.25
